sample_id,form_id,writer_id,image_path,image_width,image_height,skew,baseline_deviation,word_spacing_cv,character_height_cv,average_word_height,average_word_width,stroke_density,slant_angle,writing_area,connected_component_count,num_lines,num_words,num_components,segmentation_error_count
a01-000u,a01-000u,000,data/raw/IAM/images/formsA-D/a01-000u.png,2479,3542,287.0,7.4616224779401135,0.27762493639185526,0.41387284213999803,58.69230769230769,191.84615384615384,0.0590926235204682,-15.285714285714286,0.27235736710104,142,7,52,138,2
a01-000x,a01-000x,001,data/raw/IAM/images/formsA-D/a01-000x.png,2479,3542,-30.0,15.772642733248231,0.2996589136373053,0.6687077505221461,84.5576923076923,107.75,0.047978319795664186,-7.666666666666667,0.19806100208436353,161,6,52,146,0
a01-003,a01-003,002,data/raw/IAM/images/formsA-D/a01-003.png,2479,3542,127.0,7.4974414239564,0.31738758166315684,0.7630775741813933,65.96296296296296,181.01234567901236,0.04050118761469526,45.0,0.42467432246796294,310,11,81,298,1
a01-003u,a01-003u,000,data/raw/IAM/images/formsA-D/a01-003u.png,2479,3542,223.0,8.918163082599824,0.34732320490691665,0.41762260836819204,59.0625,215.075,0.062139870850235944,-14.454545454545455,0.4402059171689282,224,11,80,222,1
a01-003x,a01-003x,003,data/raw/IAM/images/formsA-D/a01-003x.png,2479,3542,-30.0,9.867771385086392,0.38909142699421706,0.48364466447733867,88.21951219512195,164.59756097560975,0.0601078595875474,19.88888888888889,0.3551148677689885,268,9,82,261,3
a01-007,a01-007,004,data/raw/IAM/images/formsA-D/a01-007.png,2479,3542,159.0,14.715176289843543,0.3578586140938065,0.6089386599123228,75.20289855072464,172.231884057971,0.05615554374193087,23.444444444444443,0.30591969722404505,158,9,69,133,0
a01-007u,a01-007u,000,data/raw/IAM/images/formsA-D/a01-007u.png,2479,3542,191.0,6.547886864191649,0.3210618400250026,0.3838374667316266,57.911764705882355,213.88235294117646,0.059898377360821264,-14.0,0.39275606796697,184,10,68,179,0
a01-007x,a01-007x,003,data/raw/IAM/images/formsA-D/a01-007x.png,2479,3542,-30.0,12.205996512776768,0.4274524771689719,0.4615499568762988,91.92753623188406,173.7246376811594,0.056567941367442295,17.75,0.3220324583076043,217,8,69,204,0
a01-011,a01-011,005,data/raw/IAM/images/formsA-D/a01-011.png,2479,3542,159.0,18.297625456277444,0.41717056541539843,0.6282276265004922,69.75,157.4558823529412,0.0787679514143317,-1.5714285714285714,0.24914430852133643,119,7,68,112,1
a01-011u,a01-011u,000,data/raw/IAM/images/formsA-D/a01-011u.png,2479,3542,223.0,7.4598040134885535,0.36201769376284665,0.4393688383538805,63.661764705882355,223.69117647058823,0.05836018461479623,-15.4,0.41689491559705705,223,10,68,219,0
a01-011x,a01-011x,006,data/raw/IAM/images/formsA-D/a01-011x.png,2479,3542,-63.0,6.9735605287254465,0.39007351196960927,0.5040352125538327,85.33823529411765,177.44117647058823,0.09016007945700256,18.333333333333332,0.22084573090413454,325,9,68,309,8
a01-014,a01-014,007,data/raw/IAM/images/formsA-D/a01-014.png,2479,3542,191.0,14.323193419554878,0.30639267206124365,0.5689375860972772,77.85526315789474,192.81578947368422,0.0543108033894114,-7.6,0.39608715468546746,170,10,76,171,1
a01-014u,a01-014u,000,data/raw/IAM/images/formsA-D/a01-014u.png,2479,3542,255.0,6.722580620348827,0.3174342582019795,0.4630893122481261,57.74576271186441,196.135593220339,0.0530407486436009,-16.333333333333332,0.3466618181089304,176,9,59,173,1
a01-014x,a01-014x,008,data/raw/IAM/images/formsA-D/a01-014x.png,2479,3542,-30.0,13.862520582813028,0.37022326254425697,0.7454724257811243,88.22368421052632,199.31578947368422,0.05479667904295007,29.6,0.4105342015789777,295,10,76,248,0
a01-020,a01-020,009,data/raw/IAM/images/formsA-D/a01-020.png,2479,3542,159.0,4.965195317114338,0.27557728515950386,0.5153337082245988,65.26470588235294,160.7941176470588,0.04596247100990934,23.444444444444443,0.31329685450386296,211,9,68,215,0
a01-020u,a01-020u,000,data/raw/IAM/images/formsA-D/a01-020u.png,2479,3542,191.0,3.508292044766759,0.3016252073297769,0.3977418854154897,56.705882352941174,201.16176470588235,0.05616767730091134,-17.0,0.38659784539083697,187,10,68,186,0
a01-020x,a01-020x,010,data/raw/IAM/images/formsA-D/a01-020x.png,2479,3542,-30.0,3.6501290941571685,0.2720472749267629,0.4959205666444367,66.2463768115942,146.7536231884058,0.04799116644229257,1.0,0.31571308534319564,293,9,69,292,0
a01-026,a01-026,009,data/raw/IAM/images/formsA-D/a01-026.png,2479,3542,127.0,6.553692910750388,0.3787654094024154,0.4656277386043096,61.05194805194805,161.0909090909091,0.04540916805525174,21.4,0.3389341160269129,302,10,77,301,2
a01-026u,a01-026u,000,data/raw/IAM/images/formsA-D/a01-026u.png,2479,3542,223.0,6.2602826624073735,0.3194513105410804,0.40830648786251117,60.883116883116884,220.7922077922078,0.058468820267307764,-12.818181818181818,0.4612105890496546,247,11,77,240,0
a01-026x,a01-026x,008,data/raw/IAM/images/formsA-D/a01-026x.png,2479,3542,0.0,13.50038541179965,0.3475992932420197,0.7525803190562538,89.7948717948718,212.02564102564102,0.057902039488720324,32.0,0.4215664546618473,269,10,78,252,2
a01-030,a01-030,005,data/raw/IAM/images/formsA-D/a01-030.png,2479,3542,159.0,14.718841073078426,0.38259237034489135,0.6224255433221028,61.8433734939759,144.44578313253012,0.07394085450306771,-6.5,0.2852460954342849,137,8,83,125,2
a01-030u,a01-030u,000,data/raw/IAM/images/formsA-D/a01-030u.png,2479,3542,255.0,6.785200321416178,0.3279955407059662,0.4190962670164287,54.07058823529412,191.72941176470587,0.055061256044356466,-15.727272727272727,0.4625688077991777,249,11,85,241,1
a01-030x,a01-030x,010,data/raw/IAM/images/formsA-D/a01-030x.png,2479,3542,0.0,8.56761940047157,0.3141198808641336,0.48953851398808307,63.10526315789474,150.01315789473685,0.053735396509500516,3.888888888888889,0.31771613342022165,294,9,76,284,1
a01-038,a01-038,007,data/raw/IAM/images/formsA-D/a01-038.png,2479,3542,191.0,16.87795483687983,0.30008168381015854,0.5079720661382161,83.98837209302326,222.54651162790697,0.06240168096299236,-7.923076923076923,0.44769969494174555,192,13,86,185,1
a01-038x,a01-038x,011,data/raw/IAM/images/formsA-D/a01-038x.png,2479,3542,30.0,11.819020317374845,0.4227230201875021,0.6672022407631795,105.46341463414635,134.2560975609756,0.05224092644576628,9.222222222222221,0.3154362255595221,353,9,82,362,4
a01-043,a01-043,012,data/raw/IAM/images/formsA-D/a01-043.png,2479,3542,191.0,12.281968613670157,0.33213625484888565,0.7261686732346394,114.8970588235294,238.16176470588235,0.04829645502995584,19.727272727272727,0.4802289542717836,256,11,68,269,3
a01-043u,a01-043u,000,data/raw/IAM/images/formsA-D/a01-043u.png,2479,3542,191.0,6.084245218291375,0.27115096008075856,0.41977917146705485,56.61764705882353,198.2058823529412,0.054003825402608105,-14.8,0.40733089629909874,204,10,68,195,0
a01-043x,a01-043x,011,data/raw/IAM/images/formsA-D/a01-043x.png,2479,3542,-63.0,5.876681524684403,0.3609977395655737,0.6278092800036615,108.14925373134328,134.22388059701493,0.05226941972590313,6.5,0.280703362792915,283,8,67,275,0
a01-049,a01-049,012,data/raw/IAM/images/formsA-D/a01-049.png,2479,3542,127.0,14.187635031604971,0.3941460137176971,0.7070811929710278,105.0886075949367,238.25316455696202,0.05627158213334438,22.636363636363637,0.46733726487133365,305,11,79,319,2
a01-049u,a01-049u,000,data/raw/IAM/images/formsA-D/a01-049u.png,2479,3542,255.0,7.795421188626393,0.3600282741865846,0.44211789639123134,54.973333333333336,212.17333333333335,0.05715378226125698,-16.09090909090909,0.4306743557230254,227,11,75,220,1
a01-049x,a01-049x,000,data/raw/IAM/images/formsA-D/a01-049x.png,2479,3542,-30.0,9.290033508753378,0.39127189432810466,0.4740369890774608,61.13414634146341,203.3048780487805,0.04556413931380871,-6.454545454545454,0.45213560138933273,297,11,82,288,2
a01-053,a01-053,013,data/raw/IAM/images/formsA-D/a01-053.png,2479,3542,191.0,11.749770931649044,0.4716122697807126,0.5002638250449153,116.09859154929578,240.2394366197183,0.13580829913025427,38.81818181818182,0.42132250827903,364,11,71,199,4
a01-053u,a01-053u,000,data/raw/IAM/images/formsA-D/a01-053u.png,2479,3542,223.0,5.635320844986341,0.3602022324189651,0.4405587579543511,55.57971014492754,221.4927536231884,0.057798612894939635,-13.2,0.3990265833224951,216,10,69,198,0
a01-053x,a01-053x,014,data/raw/IAM/images/formsA-D/a01-053x.png,2479,3542,-30.0,15.762638226095913,0.26552561532947677,0.7193815168988584,86.4776119402985,195.955223880597,0.0639993633674119,27.6,0.3649355888161858,162,10,67,120,2
a01-058,a01-058,013,data/raw/IAM/images/formsA-D/a01-058.png,2479,3542,223.0,17.026926261574566,0.507510074476606,0.4978462033775856,123.07352941176471,236.7941176470588,0.144483137170212,39.2,0.37969536996143094,345,10,68,170,3
a01-058u,a01-058u,000,data/raw/IAM/images/formsA-D/a01-058u.png,2479,3542,319.0,6.533076359484439,0.2826260774943974,0.41295697670175713,54.82089552238806,192.02985074626866,0.05662605411557763,-15.0,0.3522121108104236,213,9,67,199,0
a01-058x,a01-058x,014,data/raw/IAM/images/formsA-D/a01-058x.png,2479,3542,-63.0,20.97637326849368,0.40745076535138747,0.6847051478008582,103.92424242424242,209.37878787878788,0.07137182073406563,24.6,0.3712576950733992,184,10,66,126,0
a01-063,a01-063,013,data/raw/IAM/images/formsA-D/a01-063.png,2479,3542,191.0,17.471372911587146,0.47315404572141584,0.5251924237233699,120.3974358974359,208.82051282051282,0.1246304711934423,37.36363636363637,0.4572083650604092,403,11,78,197,2
a01-063u,a01-063u,000,data/raw/IAM/images/formsA-D/a01-063u.png,2479,3542,255.0,9.26401178359084,0.3374962074270449,0.4395768595870039,53.324675324675326,174.5064935064935,0.05172862978997023,-13.0,0.39036625895808247,213,10,77,208,1
a01-063x,a01-063x,015,data/raw/IAM/images/formsA-D/a01-063x.png,2479,3542,-63.0,19.163796691836914,0.39122233825082214,0.7762627838377025,105.20779220779221,213.3116883116883,0.055552567808262614,24.6,0.42565193019443504,230,10,77,223,4
a01-068u,a01-068u,000,data/raw/IAM/images/formsA-D/a01-068u.png,2479,3542,223.0,6.849543472705369,0.2558223494619555,0.4182781817249876,57.714285714285715,198.4857142857143,0.05597524007949077,-16.8,0.38832164205298536,196,10,70,189,0
a01-072u,a01-072u,000,data/raw/IAM/images/formsA-D/a01-072u.png,2479,3542,223.0,6.070828467449983,0.3501142424352131,0.48041162922600894,49.86363636363637,186.78787878787878,0.050816345312533345,-11.666666666666666,0.3415449800913785,189,9,66,185,0
a01-072x,a01-072x,001,data/raw/IAM/images/formsA-D/a01-072x.png,2479,3542,-30.0,10.259345033926682,0.32468243119163437,0.7365540984536222,72.07692307692308,115.50769230769231,0.04799303988317624,-8.25,0.2402063271628489,203,8,65,187,2
a01-077,a01-077,016,data/raw/IAM/images/formsA-D/a01-077.png,2479,3542,63.0,9.732876385925838,0.2807208765956172,0.6168420036091294,101.98484848484848,193.46969696969697,0.058653127442381874,12.8,0.3673535279635215,226,10,66,220,0
a01-077u,a01-077u,000,data/raw/IAM/images/formsA-D/a01-077u.png,2479,3542,319.0,7.842406918024555,0.3671270726012552,0.45534673256445957,53.56923076923077,183.87692307692308,0.05311160573421683,-15.666666666666666,0.3338631745510396,193,9,65,189,1
