sample_id,form_id,writer_id,image_path,image_width,image_height,skew,baseline_deviation,word_spacing_cv,character_height_cv,average_word_height,average_word_width,stroke_density,slant_angle,writing_area,connected_component_count,num_lines,num_words,num_components,segmentation_error_count
a01-000u,a01-000u,000,data/raw/IAM/images/formsA-D/a01-000u.png,2479,3542,287.0,7.4616224779401135,0.27762493639185526,0.41387284213999803,58.69230769230769,191.84615384615384,0.0590926235204682,-15.285714285714286,0.27235736710104,142,7,52,138,2
a01-000x,a01-000x,001,data/raw/IAM/images/formsA-D/a01-000x.png,2479,3542,-30.0,15.772642733248231,0.2996589136373053,0.6687077505221461,84.5576923076923,107.75,0.047978319795664186,-7.666666666666667,0.19806100208436353,161,6,52,146,0
a01-003,a01-003,002,data/raw/IAM/images/formsA-D/a01-003.png,2479,3542,127.0,7.4974414239564,0.31738758166315684,0.7630775741813933,65.96296296296296,181.01234567901236,0.04050118761469526,45.0,0.42467432246796294,310,11,81,298,1
a01-003x,a01-003x,003,data/raw/IAM/images/formsA-D/a01-003x.png,2479,3542,-30.0,9.867771385086392,0.38909142699421706,0.48364466447733867,88.21951219512195,164.59756097560975,0.0601078595875474,19.88888888888889,0.3551148677689885,268,9,82,261,3
a01-007,a01-007,004,data/raw/IAM/images/formsA-D/a01-007.png,2479,3542,159.0,14.715176289843543,0.3578586140938065,0.6089386599123228,75.20289855072464,172.231884057971,0.05615554374193087,23.444444444444443,0.30591969722404505,158,9,69,133,0
a01-011,a01-011,005,data/raw/IAM/images/formsA-D/a01-011.png,2479,3542,159.0,18.297625456277444,0.41717056541539843,0.6282276265004922,69.75,157.4558823529412,0.0787679514143317,-1.5714285714285714,0.24914430852133643,119,7,68,112,1
a01-011x,a01-011x,006,data/raw/IAM/images/formsA-D/a01-011x.png,2479,3542,-63.0,6.9735605287254465,0.39007351196960927,0.5040352125538327,85.33823529411765,177.44117647058823,0.09016007945700256,18.333333333333332,0.22084573090413454,325,9,68,309,8
a01-014,a01-014,007,data/raw/IAM/images/formsA-D/a01-014.png,2479,3542,191.0,14.323193419554878,0.30639267206124365,0.5689375860972772,77.85526315789474,192.81578947368422,0.0543108033894114,-7.6,0.39608715468546746,170,10,76,171,1
a01-014x,a01-014x,008,data/raw/IAM/images/formsA-D/a01-014x.png,2479,3542,-30.0,13.862520582813028,0.37022326254425697,0.7454724257811243,88.22368421052632,199.31578947368422,0.05479667904295007,29.6,0.4105342015789777,295,10,76,248,0
a01-020,a01-020,009,data/raw/IAM/images/formsA-D/a01-020.png,2479,3542,159.0,4.965195317114338,0.27557728515950386,0.5153337082245988,65.26470588235294,160.7941176470588,0.04596247100990934,23.444444444444443,0.31329685450386296,211,9,68,215,0
