sample_id,source_form,synthetic_image,ground_truth_mask,anomaly_type,label,mask_pixels,raw_anomaly_score,anomaly_score_0_100
synthetic_form_00001,m04-222,data\synthetic_form_anomalies\images\synthetic_form_00001.png,data\synthetic_form_anomalies\masks\synthetic_form_00001_mask.png,thinning,1,5144,0.57049155,18.946426
synthetic_form_00002,b05-098,data\synthetic_form_anomalies\images\synthetic_form_00002.png,data\synthetic_form_anomalies\masks\synthetic_form_00002_mask.png,thickening,1,22541,1.0450739,50.20682
synthetic_form_00003,g06-042d,data\synthetic_form_anomalies\images\synthetic_form_00003.png,data\synthetic_form_anomalies\masks\synthetic_form_00003_mask.png,thinning,1,3070,0.6463133,23.94075
synthetic_form_00004,h07-054a,data\synthetic_form_anomalies\images\synthetic_form_00004.png,data\synthetic_form_anomalies\masks\synthetic_form_00004_mask.png,thinning,1,5334,0.5334257,16.504923
synthetic_form_00005,d01-024,data\synthetic_form_anomalies\images\synthetic_form_00005.png,data\synthetic_form_anomalies\masks\synthetic_form_00005_mask.png,thickening,1,9497,1.2266648,62.168087
synthetic_form_00006,p02-081,data\synthetic_form_anomalies\images\synthetic_form_00006.png,data\synthetic_form_anomalies\masks\synthetic_form_00006_mask.png,thinning,1,2150,1.2617338,64.47806
synthetic_form_00007,f07-028b,data\synthetic_form_anomalies\images\synthetic_form_00007.png,data\synthetic_form_anomalies\masks\synthetic_form_00007_mask.png,thickening,1,9812,0.8920822,40.12937
synthetic_form_00008,f07-084a,data\synthetic_form_anomalies\images\synthetic_form_00008.png,data\synthetic_form_anomalies\masks\synthetic_form_00008_mask.png,dropout,1,1160,0.80482584,34.381855
synthetic_form_00009,k02-023,data\synthetic_form_anomalies\images\synthetic_form_00009.png,data\synthetic_form_anomalies\masks\synthetic_form_00009_mask.png,blur,1,6790,0.9775867,45.761486
synthetic_form_00010,m04-030,data\synthetic_form_anomalies\images\synthetic_form_00010.png,data\synthetic_form_anomalies\masks\synthetic_form_00010_mask.png,thinning,1,21512,0.7462703,30.524843
synthetic_form_00011,a02-116,data\synthetic_form_anomalies\images\synthetic_form_00011.png,data\synthetic_form_anomalies\masks\synthetic_form_00011_mask.png,thickening,1,7080,0.38922924,7.0068064
synthetic_form_00012,b01-027,data\synthetic_form_anomalies\images\synthetic_form_00012.png,data\synthetic_form_anomalies\masks\synthetic_form_00012_mask.png,blur,1,5542,0.9411253,43.359802
synthetic_form_00013,c03-000a,data\synthetic_form_anomalies\images\synthetic_form_00013.png,data\synthetic_form_anomalies\masks\synthetic_form_00013_mask.png,blur,1,3090,0.82770485,35.888878
synthetic_form_00014,p02-131,data\synthetic_form_anomalies\images\synthetic_form_00014.png,data\synthetic_form_anomalies\masks\synthetic_form_00014_mask.png,thinning,1,5170,1.0193579,48.51293
synthetic_form_00015,c03-000b,data\synthetic_form_anomalies\images\synthetic_form_00015.png,data\synthetic_form_anomalies\masks\synthetic_form_00015_mask.png,thinning,1,2268,0.65600556,24.579172
synthetic_form_00016,a03-066,data\synthetic_form_anomalies\images\synthetic_form_00016.png,data\synthetic_form_anomalies\masks\synthetic_form_00016_mask.png,blur,1,9215,0.9592054,44.550728
synthetic_form_00017,g06-026l,data\synthetic_form_anomalies\images\synthetic_form_00017.png,data\synthetic_form_anomalies\masks\synthetic_form_00017_mask.png,blur,1,6390,0.9073953,41.13803
synthetic_form_00018,c06-058,data\synthetic_form_anomalies\images\synthetic_form_00018.png,data\synthetic_form_anomalies\masks\synthetic_form_00018_mask.png,dropout,1,4905,0.72861576,29.361954
synthetic_form_00019,b06-023,data\synthetic_form_anomalies\images\synthetic_form_00019.png,data\synthetic_form_anomalies\masks\synthetic_form_00019_mask.png,blur,1,8623,0.6724993,25.665602
synthetic_form_00020,r06-070,data\synthetic_form_anomalies\images\synthetic_form_00020.png,data\synthetic_form_anomalies\masks\synthetic_form_00020_mask.png,blur,1,5897,0.69967866,27.455887
synthetic_form_00021,d01-016,data\synthetic_form_anomalies\images\synthetic_form_00021.png,data\synthetic_form_anomalies\masks\synthetic_form_00021_mask.png,thickening,1,13855,0.7228742,28.983763
