sample_id,source_form,synthetic_image,ground_truth_mask,anomaly_type,label,mask_pixels
synthetic_form_00001,m04-222,data\synthetic_form_anomalies\images\synthetic_form_00001.png,data\synthetic_form_anomalies\masks\synthetic_form_00001_mask.png,thinning,1,5144
synthetic_form_00002,b05-098,data\synthetic_form_anomalies\images\synthetic_form_00002.png,data\synthetic_form_anomalies\masks\synthetic_form_00002_mask.png,thickening,1,22541
synthetic_form_00003,g06-042d,data\synthetic_form_anomalies\images\synthetic_form_00003.png,data\synthetic_form_anomalies\masks\synthetic_form_00003_mask.png,thinning,1,3070
synthetic_form_00004,h07-054a,data\synthetic_form_anomalies\images\synthetic_form_00004.png,data\synthetic_form_anomalies\masks\synthetic_form_00004_mask.png,thinning,1,5334
synthetic_form_00005,d01-024,data\synthetic_form_anomalies\images\synthetic_form_00005.png,data\synthetic_form_anomalies\masks\synthetic_form_00005_mask.png,thickening,1,9497
synthetic_form_00006,p02-081,data\synthetic_form_anomalies\images\synthetic_form_00006.png,data\synthetic_form_anomalies\masks\synthetic_form_00006_mask.png,thinning,1,2150
synthetic_form_00007,f07-028b,data\synthetic_form_anomalies\images\synthetic_form_00007.png,data\synthetic_form_anomalies\masks\synthetic_form_00007_mask.png,thickening,1,9812
synthetic_form_00008,f07-084a,data\synthetic_form_anomalies\images\synthetic_form_00008.png,data\synthetic_form_anomalies\masks\synthetic_form_00008_mask.png,dropout,1,1160
synthetic_form_00009,k02-023,data\synthetic_form_anomalies\images\synthetic_form_00009.png,data\synthetic_form_anomalies\masks\synthetic_form_00009_mask.png,blur,1,6790
synthetic_form_00010,m04-030,data\synthetic_form_anomalies\images\synthetic_form_00010.png,data\synthetic_form_anomalies\masks\synthetic_form_00010_mask.png,thinning,1,21512
synthetic_form_00011,a02-116,data\synthetic_form_anomalies\images\synthetic_form_00011.png,data\synthetic_form_anomalies\masks\synthetic_form_00011_mask.png,thickening,1,7080
synthetic_form_00012,b01-027,data\synthetic_form_anomalies\images\synthetic_form_00012.png,data\synthetic_form_anomalies\masks\synthetic_form_00012_mask.png,blur,1,5542
synthetic_form_00013,c03-000a,data\synthetic_form_anomalies\images\synthetic_form_00013.png,data\synthetic_form_anomalies\masks\synthetic_form_00013_mask.png,blur,1,3090
synthetic_form_00014,p02-131,data\synthetic_form_anomalies\images\synthetic_form_00014.png,data\synthetic_form_anomalies\masks\synthetic_form_00014_mask.png,thinning,1,5170
synthetic_form_00015,c03-000b,data\synthetic_form_anomalies\images\synthetic_form_00015.png,data\synthetic_form_anomalies\masks\synthetic_form_00015_mask.png,thinning,1,2268
synthetic_form_00016,a03-066,data\synthetic_form_anomalies\images\synthetic_form_00016.png,data\synthetic_form_anomalies\masks\synthetic_form_00016_mask.png,blur,1,9215
synthetic_form_00017,g06-026l,data\synthetic_form_anomalies\images\synthetic_form_00017.png,data\synthetic_form_anomalies\masks\synthetic_form_00017_mask.png,blur,1,6390
synthetic_form_00018,c06-058,data\synthetic_form_anomalies\images\synthetic_form_00018.png,data\synthetic_form_anomalies\masks\synthetic_form_00018_mask.png,dropout,1,4905
synthetic_form_00019,b06-023,data\synthetic_form_anomalies\images\synthetic_form_00019.png,data\synthetic_form_anomalies\masks\synthetic_form_00019_mask.png,blur,1,8623
synthetic_form_00020,r06-070,data\synthetic_form_anomalies\images\synthetic_form_00020.png,data\synthetic_form_anomalies\masks\synthetic_form_00020_mask.png,blur,1,5897
synthetic_form_00021,d01-016,data\synthetic_form_anomalies\images\synthetic_form_00021.png,data\synthetic_form_anomalies\masks\synthetic_form_00021_mask.png,thickening,1,13855
synthetic_form_00022,b01-136,data\synthetic_form_anomalies\images\synthetic_form_00022.png,data\synthetic_form_anomalies\masks\synthetic_form_00022_mask.png,dropout,1,18445
synthetic_form_00023,l07-085,data\synthetic_form_anomalies\images\synthetic_form_00023.png,data\synthetic_form_anomalies\masks\synthetic_form_00023_mask.png,dropout,1,10909
synthetic_form_00024,j06-014,data\synthetic_form_anomalies\images\synthetic_form_00024.png,data\synthetic_form_anomalies\masks\synthetic_form_00024_mask.png,thickening,1,3002
synthetic_form_00025,k02-029,data\synthetic_form_anomalies\images\synthetic_form_00025.png,data\synthetic_form_anomalies\masks\synthetic_form_00025_mask.png,thickening,1,7077
synthetic_form_00026,g06-045m,data\synthetic_form_anomalies\images\synthetic_form_00026.png,data\synthetic_form_anomalies\masks\synthetic_form_00026_mask.png,blur,1,8368
synthetic_form_00027,h07-030a,data\synthetic_form_anomalies\images\synthetic_form_00027.png,data\synthetic_form_anomalies\masks\synthetic_form_00027_mask.png,blur,1,7548
synthetic_form_00028,m04-216,data\synthetic_form_anomalies\images\synthetic_form_00028.png,data\synthetic_form_anomalies\masks\synthetic_form_00028_mask.png,thinning,1,3451
synthetic_form_00029,c02-078,data\synthetic_form_anomalies\images\synthetic_form_00029.png,data\synthetic_form_anomalies\masks\synthetic_form_00029_mask.png,thickening,1,11645
synthetic_form_00030,f04-057,data\synthetic_form_anomalies\images\synthetic_form_00030.png,data\synthetic_form_anomalies\masks\synthetic_form_00030_mask.png,blur,1,1632
synthetic_form_00031,f01-085,data\synthetic_form_anomalies\images\synthetic_form_00031.png,data\synthetic_form_anomalies\masks\synthetic_form_00031_mask.png,thickening,1,4522
synthetic_form_00032,r02-137,data\synthetic_form_anomalies\images\synthetic_form_00032.png,data\synthetic_form_anomalies\masks\synthetic_form_00032_mask.png,thinning,1,8100
synthetic_form_00033,n02-120,data\synthetic_form_anomalies\images\synthetic_form_00033.png,data\synthetic_form_anomalies\masks\synthetic_form_00033_mask.png,blur,1,6764
synthetic_form_00034,j06-000,data\synthetic_form_anomalies\images\synthetic_form_00034.png,data\synthetic_form_anomalies\masks\synthetic_form_00034_mask.png,thinning,1,5591
synthetic_form_00035,g06-026h,data\synthetic_form_anomalies\images\synthetic_form_00035.png,data\synthetic_form_anomalies\masks\synthetic_form_00035_mask.png,dropout,1,5313
synthetic_form_00036,j01-066,data\synthetic_form_anomalies\images\synthetic_form_00036.png,data\synthetic_form_anomalies\masks\synthetic_form_00036_mask.png,thinning,1,3140
synthetic_form_00037,f07-036,data\synthetic_form_anomalies\images\synthetic_form_00037.png,data\synthetic_form_anomalies\masks\synthetic_form_00037_mask.png,thinning,1,17756
synthetic_form_00038,a01-020,data\synthetic_form_anomalies\images\synthetic_form_00038.png,data\synthetic_form_anomalies\masks\synthetic_form_00038_mask.png,thinning,1,11067
